"identifiant_source","zone","fournisseur","nom_base_donnees","lien","date_mise_a_jour"
2,"Nouveau-Brunswick","Province du Nouveau-Brunswick","Data Catalogue-Public Schools","http://www.snb.ca/geonb1/e/DC/catalogue-E.asp","2019-12-11"
5,"Terre-Neuve-et-Labrador","Province de Terre-Neuve-et-Labrador","NLSchools Location Map","https://www.google.com/maps/d/viewer?mid=1R5VvnRw7O2HyleZerwnEih2pfJngXxA&ll=51.25470996626321%2C-53.88959315085279&z=4","2024-08-15"
6,"Terre-Neuve-et-Labrador","Province de Terre-Neuve-et-Labrador","Public Schools 2023-24","https://www.gov.nl.ca/education/faq/schooldatabase/","2023-09-30"
8,"Nouvelle-Écosse","Province de la Nouvelle-Écosse","Nova Scotia Directory of Public Schools","https://ns-schools.ednet.ns.ca/","2023-12-01"
9,"Nouvelle-Écosse","Province de la Nouvelle-Écosse","Nova Scotia Public School Contact Information","https://data.novascotia.ca/Education-Primary-to-Grade-12/Nova-Scotia-Public-School-Contact-Information/iyap-ttn5/about_data","2024-03-13"
14,"Île-du-Prince-Édouard","Province de l'Île-du-Prince-Édouard","OD0055 Public School Locations","https://data.princeedwardisland.ca/datasets/eba22ec2a7de4c2e86837754c37d3dbb_0/explore","2024-03-22"
20,"Colombie-Britannique","Province de la Colombie-Britannique","BC Schools - K-12 with Francophone Indicators","https://open.canada.ca/data/en/dataset/95da1091-7e8c-4aa6-9c1b-5ab159ea7b42","2024-07-02"
22,"Alberta","Province de l'Alberta","School Information Report","https://education.alberta.ca/alberta-education/school-authority-index/everyone/alberta-schools/","2024-10-07"
28,"Saskatchewan","Province de la Saskatchewan","Education/SchoolsAndDivisions (MapServer) Public Schools","https://gis.saskatchewan.ca/arcgis/rest/services/Education/SchoolsAndDivisions/MapServer","2022-11-03"
31,"Manitoba","Province du Manitoba","School Locations of Manitoba","https://geoportal.gov.mb.ca/datasets/manitoba::school-locations-of-manitoba/explore","2020-12-30"
36,"Ontario","Province de l'Ontario","Private school contact information","https://data.ontario.ca/dataset/private-school-contact-information","2024-06-17"
37,"Ontario","Province de l'Ontario","School information and student demographics","https://data.ontario.ca/dataset/school-information-and-student-demographics","2024-07-05"
42,"Nunavut","Territoire du Nunavut","Map of Nunavut Schools","https://www.gov.nu.ca/en/department-education/map-nunavut-schools","2024-10-08"
45,"Yukon","Territoire du Yukon","Find a school","https://yukon.ca/en/education-and-schools/plan-elementary-and-high-school/find-school","2024-10-21"
47,"Territoires du Nord-Ouest","Territoires du Nord-Ouest","2023-2024 Northwest Territories Directory of Schools","https://www.ece.gov.nt.ca/en/services/jk-12-school-curriculum/directory-nwt-schools","2023-10-17"
55,"Saskatchewan","Province de la Saskatchewan","Education/SchoolsAndDivisions (MapServer) Separate Schools","https://gis.saskatchewan.ca/arcgis/rest/services/Education/SchoolsAndDivisions/MapServer","2022-11-03"
56,"Saskatchewan","Province de la Saskatchewan","Education/SchoolsAndDivisions (MapServer) Francophone Schools","https://gis.saskatchewan.ca/arcgis/rest/services/Education/SchoolsAndDivisions/MapServer","2022-11-03"
57,"Saskatchewan","Province de la Saskatchewan","Education/SchoolsAndDivisions (MapServer) Band Schools","https://gis.saskatchewan.ca/arcgis/rest/services/Education/SchoolsAndDivisions/MapServer","2022-11-03"
58,"Québec","Province de Québec","Établissements d'enseignement collégial","https://www.donneesquebec.ca/recherche/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec#","2024-07-02"
59,"Québec","Province de Québec","Établissements d'enseignement universitaire","https://www.donneesquebec.ca/recherche/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec#","2024-07-02"
60,"Québec","Province de Québec","Établissements d'enseignement gouvernemental","https://www.donneesquebec.ca/recherche/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec#","2024-07-02"
